lon,lat,psi,u,v,r,id
-73.9292,40.5429,-6.59955e-07,3,0.00538195,1.85623e-07,5206
-73.9513,40.5319,-1.0472,3,0.00538171,6.56806e-08,5203
-73.9723,40.5333,2.61799,3,-0.000251337,-1.19049e-07,5201
-73.9467,40.5504,2.61799,3,-0.00538171,-6.76619e-08,5196
-73.9459,40.551,2.0944,3,-1.23525e-05,-2.92761e-08,5195
-73.9337,40.5436,1.0472,3,-0.00538199,-2.04325e-07,5175
-73.9459,40.5302,-0.523599,3,0.00538208,2.48324e-07,5164
-73.9623,40.5456,2.0944,3,-1.27551e-05,-2.27743e-07,5162
-73.9467,40.532,-0.523599,3,0.000251319,1.15752e-07,5917
-73.9509,40.5277,-9.44564e-08,3,2.16715e-07,1.01999e-07,5159
-73.9512,40.527,-0.523599,3,0.00538202,2.18934e-07,5158
-73.9548,40.5547,2.0944,3,-0.00538204,-2.28622e-07,5155
-73.9452,40.5529,2.0944,3,-0.00538194,-1.81603e-07,5153
-73.9583,40.5497,2.0944,3,-0.000251163,-4.1485e-08,5146
-73.9536,40.5262,-0.523599,3,0.000251198,5.63762e-08,5122
-73.937,40.5366,2.78018e-07,3,1.2797e-05,2.48998e-07,5116
-73.9431,40.5327,-0.523599,3,0.000251461,1.80288e-07,5113
-73.9726,40.5362,2.61799,3,-0.00538199,-3.34487e-08,5111
-73.9719,40.5367,2.0944,3,-0.00025114,-2.73354e-08,5110
-73.9448,40.5317,-0.523599,3,0.00538206,2.41023e-07,5107
-73.9567,40.5248,-1.0472,3,0.00538171,6.63173e-08,5320
-73.9477,40.549,2.61799,3,-0.0053817,-6.41238e-08,5086
-73.947,40.5496,2.0944,3,-1.2745e-05,-2.22949e-07,5085
-73.9681,40.5389,2.61799,3,-0.000251501,-1.99064e-07,6147
-73.9687,40.5389,2.0944,3,-1.26161e-05,-1.59644e-07,5076
-73.9564,40.5505,2.0944,3,-0.000251177,-4.53337e-08,5073
-73.9734,40.5319,2.61799,3,-0.00025187,-3.79593e-07,5058
-73.9644,40.5453,2.0944,3,-0.00538187,-1.46989e-07,5030
-73.9349,40.5395,-4.82463e-07,3,1.25872e-05,1.46915e-07,5023
-73.9351,40.5387,-0.523599,3,0.00538176,9.18831e-08,5022
-73.9514,40.529,-0.523599,3,0.000251204,5.92967e-08,5020
-73.9601,40.5224,-1.0472,3,0.00538171,6.75607e-08,5966
-73.9525,40.5276,-0.523599,3,0.000251134,2.52096e-08,5018
-73.9559,40.5529,2.0944,3,-0.000251417,-1.65565e-07,5012
-73.9362,40.5373,-0.523599,3,0.00538172,7.093e-08,5005
-73.9373,40.5359,-0.523598,3,0.00538172,7.17796e-08,5115
-73.9483,40.5294,-0.523599,3,0.000251146,3.38989e-08,4997
