lon,lat,psi,u,v,r,id
-73.9523,40.548,1.5708,3,0.00538176,1.04114e-07,4798
-73.9567,40.5469,2.0944,3,-0.000251156,-3.81685e-08,3277
-73.9567,40.5469,2.0944,3,-0.000251156,-3.81685e-08,3277
-73.9459,40.5498,2.0944,3,-0.000251146,-3.37658e-08,3602
-73.9459,40.5498,2.0944,3,-0.000251146,-3.37658e-08,3602
-73.9626,40.5449,1.5708,3,-2.97438e-07,-1.44048e-07,4743
-73.9626,40.5449,1.5708,3,-2.97438e-07,-1.44048e-07,4743
-73.9719,40.533,2.0944,3,-1.24248e-05,-6.72131e-08,3479
-73.9437,40.5399,-0.523599,3,0.000251425,1.62579e-07,3059
-73.9448,40.5385,-0.523599,3,0.000251476,1.87415e-07,3041
-73.9715,40.5327,2.61799,3,-0.00538199,-3.24126e-08,2154
-73.9585,40.5461,2.0944,3,-0.000251146,-3.35456e-08,3286
-73.9585,40.5461,2.0944,3,-0.000251146,-3.35456e-08,3286
-73.9645,40.5441,1.5708,3,-1.30834e-07,-6.19461e-08,4780
-73.9456,40.535,-0.523599,3,0.00538198,2.02161e-07,3181
-73.9477,40.5322,-0.523599,3,0.00538198,2.02762e-07,3163
-73.9456,40.535,-0.523599,3,0.00538198,2.02161e-07,3181
-73.9488,40.5308,-0.523599,3,0.00538199,2.07306e-07,3169
-73.9467,40.5336,-0.523599,3,0.00538199,2.0403e-07,3175
-73.9698,40.5387,1.5708,3,-2.44552e-07,-1.18223e-07,4841
-73.9441,40.5325,0.523599,3,-0.005382,-2.09445e-07,5713
-73.9477,40.5322,-0.523599,3,0.00538198,2.02762e-07,3163
-73.954,40.5525,2.0944,3,-0.00538176,-9.2405e-08,3217
-73.9488,40.5308,-0.523599,3,0.00538199,2.07306e-07,3169
-73.9459,40.5371,-0.523599,3,0.000251157,3.03856e-08,3149
-73.9604,40.5453,2.0944,3,-0.000251308,-1.12257e-07,3307
-73.9469,40.5357,-0.523599,3,0.000251257,7.88022e-08,3131
-73.9604,40.5453,2.0944,3,-0.000251308,-1.12257e-07,3307
-73.954,40.5525,2.0944,3,-0.00538176,-9.2405e-08,3217
-73.9266,40.5624,-3.48761e-07,3,0.00538207,2.46932e-07,5399
-73.9655,40.5423,2.0944,3,-0.00538204,-2.29707e-07,3519
-73.9407,40.5576,1.5708,3,-0.00538205,-2.45559e-07,4884
-73.9623,40.5445,2.0944,3,-0.00025115,-3.53535e-08,3337
-73.9623,40.5445,2.0944,3,-0.00025115,-3.53535e-08,3337
-73.9554,40.5512,1.5708,3,-1.26294e-07,-5.77364e-08,4703
-73.9499,40.5294,-0.523599,3,0.00538203,2.27018e-07,3237
-73.9559,40.5517,2.0944,3,-0.00538198,-2.03224e-07,3251
-73.9499,40.5294,-0.523599,3,0.00538203,2.27018e-07,3237
-73.948,40.5342,-0.523599,3,0.000251383,1.42186e-07,3209
-73.9491,40.5328,-0.523599,3,0.000251388,1.44548e-07,3206
-73.9537,40.552,1.0472,3,0.00538205,2.33619e-07,5984
-73.9655,40.5423,2.0944,3,-0.00538204,-2.29707e-07,3519
-73.9502,40.5314,-0.523599,3,0.00025151,2.04336e-07,3200
-73.9559,40.5517,2.0944,3,-0.00538198,-2.03224e-07,3251
-73.9512,40.53,-0.523599,3,0.000251413,1.5707e-07,3188
-73.9551,40.5262,-0.523599,3,0.00538207,2.46506e-07,3346
-73.9496,40.5312,-2.54541e-07,3,3.678e-07,1.77028e-07,4697
-73.9449,40.5512,2.0944,3,-0.000251175,-4.79161e-08,3702
-73.9449,40.5512,2.0944,3,-0.000251175,-4.79161e-08,3702
-73.9506,40.5298,-3.25994e-07,3,1.72342e-07,8.14645e-08,4694
-73.9404,40.5383,-0.523599,3,0.00538171,6.54762e-08,3079
-73.9641,40.5409,2.61799,3,-0.00538204,-5.88837e-08,2095
-73.9414,40.5369,-0.523599,3,0.00538174,8.08646e-08,3091
-73.9404,40.5383,-0.523599,3,0.00538171,6.54762e-08,3079
-73.9622,40.524,-1.0472,3,0.00538209,8.19462e-08,2008
-73.9546,40.5502,1.5708,3,0.00538158,2.13193e-07,4729
-73.9425,40.5355,-0.523599,3,0.00538171,6.78991e-08,3100
-73.9657,40.5399,2.0944,3,-0.000251162,-3.91355e-08,3524
-73.9657,40.5399,2.0944,3,-0.000251162,-3.91355e-08,3524
-73.9551,40.5262,-0.523599,3,0.00538207,2.46506e-07,3346
-73.9414,40.5369,-0.523599,3,0.00538174,8.08646e-08,3091
-73.95,40.5352,-0.523599,3,0.000251355,1.35469e-07,3344
-73.95,40.5352,-0.523599,3,0.000251355,1.35469e-07,3344
-73.9436,40.5341,-0.523599,3,0.00538169,6.03301e-08,3112
-73.9425,40.5355,-0.523599,3,0.00538171,6.78991e-08,3100
-73.9436,40.5341,-0.523599,3,0.00538169,6.03301e-08,3112
-73.9537,40.5492,2.0944,3,-0.000251384,-1.42751e-07,3427
-73.9708,40.5344,2.0944,3,-1.25356e-05,-1.1792e-07,3657
-73.9573,40.5503,1.5708,3,-7.90505e-08,-3.47355e-08,4774
-73.9551,40.5507,2.0944,3,-0.000251377,-1.39062e-07,3256
-73.9429,40.5474,2.0944,3,-0.0053817,-6.22579e-08,4220
-73.9676,40.5391,2.0944,3,-0.000251168,-4.16924e-08,3527
-73.9676,40.5391,2.0944,3,-0.000251168,-4.16924e-08,3527
-73.9429,40.5474,2.0944,3,-0.0053817,-6.22579e-08,4220
-73.9705,40.5341,2.61799,3,-0.00538209,-8.26906e-08,2241
-73.9602,40.5477,2.0944,3,-0.00538205,-2.37495e-07,3449
