lon_from,lat_from,psi_from,lon_to,lat_to,psi_to
-73.9459,40.5482,2.0944,-73.947,40.5496,2.0944
-73.9662,40.5381,2.61799,-73.9681,40.5389,2.61799
-73.9676,40.5375,2.0944,-73.9687,40.5389,2.0944
-73.9554,40.5491,2.0944,-73.9564,40.5505,2.0944
-73.9715,40.5311,2.61799,-73.9734,40.5319,2.61799
-73.9634,40.5439,1.5708,-73.9644,40.5453,2.0944
-73.937,40.5395,-4.42986e-07,-73.9349,40.5395,-4.82463e-07
-73.937,40.5395,-4.42986e-07,-73.9351,40.5387,-0.523599
-73.9533,40.5298,-0.523599,-73.9514,40.529,-0.523599
-73.9612,40.5238,-0.523599,-73.9601,40.5224,-1.0472
-73.9543,40.5284,-0.523599,-73.9525,40.5276,-0.523599
-73.9548,40.5515,2.0944,-73.9559,40.5529,2.0944
-73.9381,40.5381,-4.61493e-07,-73.9362,40.5373,-0.523599
-73.9392,40.5366,3.44926e-07,-73.9373,40.5359,-0.523598
-73.9502,40.5302,-0.523599,-73.9483,40.5294,-0.523599
-73.9502,40.5302,-0.523599,-73.949,40.5289,-1.0472
-73.9462,40.5462,2.0944,-73.9473,40.5476,2.0944
-73.9626,40.5229,-0.523599,-73.9607,40.5221,-0.523599
-73.949,40.5354,-0.523599,-73.9472,40.5346,-0.523599
-73.9637,40.5415,1.5708,-73.9637,40.5431,1.5708
-73.9359,40.5409,-4.10182e-07,-73.9338,40.5409,-4.45851e-07
-73.9359,40.5409,-4.10182e-07,-73.934,40.5401,-0.523599
-73.9616,40.5447,1.5708,-73.9616,40.5463,1.5708
-73.9597,40.5254,-0.523599,-73.9578,40.5246,-0.523599
-73.9597,40.5254,-0.523599,-73.9585,40.524,-1.0472
-73.9602,40.5237,0,-73.9581,40.5237,0
-73.9602,40.5237,0,-73.9583,40.5229,-0.523599
-73.9358,40.5391,4.54899e-07,-73.9336,40.5391,4.44137e-07
-73.947,40.5345,-0.523599,-73.9451,40.5336,-0.523599
-73.9408,40.556,1.0472,-73.9407,40.5576,1.5708
-73.9408,40.556,1.0472,-73.9397,40.5574,1.0472
-73.9408,40.556,1.0472,-73.939,40.5569,0.523599
-73.9325,40.5433,-3.85392e-07,-73.9306,40.544,0.523598
-73.9726,40.5297,2.61799,-73.9747,40.5298,3.14159
-73.9726,40.5297,2.61799,-73.9744,40.5305,2.61799
-73.9655,40.5407,2.0944,-73.9673,40.5416,2.61799
-73.9687,40.5381,2.0944,-73.9705,40.539,2.61799
-73.9698,40.5371,1.5708,-73.9708,40.5385,2.0944
-73.9507,40.53,-0.523599,-73.9488,40.5292,-0.523599
-73.9427,40.5401,-0.523599,-73.9408,40.5393,-0.523599
-73.9522,40.5464,2.0944,-73.9523,40.548,1.5708
-73.9257,40.5645,1.0472,-73.9239,40.5653,1.0472
-73.9648,40.5401,1.5708,-73.9657,40.5416,2.0944
-73.9549,40.5269,-7.83172e-08,-73.953,40.5262,-0.523599
-73.9645,40.5425,1.5708,-73.9655,40.5439,2.0944
-73.9645,40.5425,1.5708,-73.9645,40.5441,1.5708
-73.9375,40.5392,-4.72309e-07,-73.9356,40.5385,-0.523599
-73.939,40.5404,0.523599,-73.9379,40.5417,1.0472
-73.9479,40.5369,-0.523599,-73.9461,40.5361,-0.523599
-73.939,40.5404,0.523599,-73.9372,40.5412,0.523599
-73.9433,40.5348,-3.73265e-07,-73.9412,40.5348,-4.02192e-07
-73.9433,40.5348,-3.73265e-07,-73.9414,40.5341,-0.523599
-73.9423,40.5362,-3.5929e-07,-73.9401,40.5362,-3.9807e-07
-73.9421,40.5543,1.0472,-73.942,40.5559,1.5708
-73.9637,40.5435,1.5708,-73.9626,40.5449,1.5708
-73.9412,40.5376,-3.305e-07,-73.9393,40.5369,-0.523599
-73.9541,40.5304,-0.523599,-73.9522,40.5296,-0.523599
-73.9497,40.5302,1.14544e-07,-73.9478,40.5294,-0.523599
-73.9549,40.5519,1.5708,-73.9559,40.5533,2.0944
-73.9554,40.5495,1.5708,-73.9554,40.5512,1.5708
-73.9551,40.529,-0.523599,-73.953,40.5289,-2.89527e-07
-73.9232,40.5648,0.523598,-73.9213,40.5656,0.523598
-73.9551,40.529,-0.523599,-73.9533,40.5282,-0.523599
-73.9615,40.5246,-0.523599,-73.9597,40.5238,-0.523599
-73.9615,40.5246,-0.523599,-73.9604,40.5232,-1.0472
-73.9418,40.5546,1.0472,-73.9417,40.5562,1.5708
-73.9438,40.5514,2.0944,-73.9456,40.5523,2.61799
-73.9665,40.5393,2.0944,-73.9676,40.5407,2.0944
-73.9559,40.5501,2.0944,-73.957,40.5515,2.0944
-73.9424,40.546,2.0944,-73.9442,40.5469,2.61799
-73.9634,40.5414,2.0944,-73.9644,40.5428,2.0944
-73.9475,40.533,-3.79596e-07,-73.9454,40.533,-4.00731e-07
-73.9379,40.5417,1.0472,-73.9361,40.5426,0.523599
-73.9497,40.5361,-0.523599,-73.9479,40.5352,-0.523599
-73.9488,40.5336,-0.523599,-73.947,40.5328,-0.523599
-73.9612,40.5447,2.0944,-73.963,40.5456,2.61799
-73.9426,40.5342,2.22634e-07,-73.9404,40.5342,2.02636e-07
-73.9444,40.5334,2.02311e-07,-73.9425,40.5327,-0.523599
-73.9468,40.5327,-0.523599,-73.9456,40.5313,-1.0472
-73.9367,40.5414,0.523598,-73.9348,40.5422,0.523598
-73.9449,40.55,2.0944,-73.9459,40.5514,2.0944
-73.941,40.5358,3.30653e-07,-73.9391,40.5351,-0.523598
-73.9341,40.5417,-3.42838e-07,-73.9319,40.5417,-3.57743e-07
-73.9708,40.5333,2.0944,-73.9726,40.5341,2.61799
-73.9708,40.5333,2.0944,-73.9719,40.5347,2.0944
-73.9456,40.5379,-0.523599,-73.9437,40.5371,-0.523599
-73.9656,40.5411,1.5708,-73.9665,40.5425,2.0944
-73.9666,40.5413,1.5708,-73.9656,40.5427,1.5708
-73.9467,40.5365,-0.523599,-73.9448,40.5357,-0.523599
-73.9575,40.5463,2.0944,-73.9585,40.5477,2.0944
-73.9404,40.537,-4.41255e-07,-73.9385,40.5363,-0.523599
-73.9586,40.5465,1.5708,-73.9576,40.548,1.5708
-73.9687,40.5361,2.0944,-73.9705,40.5369,2.61799
-73.9441,40.5494,2.0944,-73.9451,40.5508,2.0944
-73.9676,40.5379,2.0944,-73.9694,40.5388,2.61799
-73.9331,40.542,0.523598,-73.9313,40.5428,0.523598
-73.9328,40.5413,-5.79373e-07,-73.931,40.5421,-6.24576e-07
-73.9445,40.5393,-0.523599,-73.9427,40.5385,-0.523599
-73.9644,40.54,2.0944,-73.9655,40.5414,2.0944
-73.9591,40.5294,-0.523599,-73.9572,40.5286,-0.523599
-73.9452,40.548,2.0944,-73.9469,40.5489,2.61799
-73.9559,40.5296,-0.523599,-73.9541,40.5288,-0.523599
-73.9378,40.5401,-3.92387e-07,-73.9356,40.5401,-4.5035e-07
-73.9378,40.5401,-3.92387e-07,-73.9359,40.5393,-0.523599
-73.9438,40.553,2.0944,-73.9438,40.5546,2.0944
-73.9459,40.5486,2.0944,-73.9477,40.5495,2.61799
-73.9459,40.5486,2.0944,-73.947,40.55,2.0944
-73.9634,40.5238,-0.523599,-73.9622,40.5224,-1.0472
-73.9527,40.5338,-0.523599,-73.9508,40.533,-0.523599
-73.957,40.5282,-0.523599,-73.9548,40.5281,-6.66636e-08
-73.9612,40.5266,-0.523599,-73.9594,40.5258,-0.523599
-73.9509,40.5306,-3.23477e-07,-73.949,40.5298,-0.523599
-73.958,40.5268,-0.523599,-73.9559,40.5267,-7.10931e-08
-73.958,40.5268,-0.523599,-73.9562,40.526,-0.523599
-73.9537,40.5324,-0.523599,-73.9519,40.5316,-0.523599
-73.9352,40.5403,-4.75476e-07,-73.9333,40.5395,-0.523599
-73.9719,40.5319,2.0944,-73.9737,40.5327,2.61799
-73.9535,40.5304,-1.38065e-07,-73.9514,40.5303,-1.51483e-07
-73.9533,40.5503,1.5708,-73.9543,40.5517,2.0944
-73.9533,40.5503,1.5708,-73.9533,40.5519,1.5708
-73.9546,40.5289,-1.56794e-07,-73.9525,40.5289,-1.7243e-07
-73.9549,40.5284,-0.523599,-73.9527,40.5282,-0.523599
-73.9557,40.5276,-1.0224e-07,-73.9535,40.5275,-1.5964e-07
-73.9389,40.5386,-4.27613e-07,-73.937,40.5379,-0.523599
-73.9546,40.549,1.5708,-73.9537,40.5504,1.0472
-73.957,40.5487,2.0944,-73.958,40.5501,2.0944
-73.957,40.5503,2.0944,-73.957,40.5519,2.0944
-73.9232,40.5648,0.523598,-73.9211,40.5648,-4.35234e-07
-73.9571,40.5507,1.5708,-73.956,40.5521,1.5708
-73.9623,40.5449,2.0944,-73.9641,40.5458,2.61799
-73.9623,40.5433,2.0944,-73.9634,40.5447,2.0944
-73.9515,40.5294,-7.41661e-10,-73.9494,40.5294,-3.39491e-08
-73.9352,40.5403,-4.75476e-07,-73.9333,40.5411,-4.81993e-07
-73.9616,40.5443,1.5708,-73.9605,40.5457,1.5708
-73.9551,40.5495,2.0944,-73.9562,40.5509,2.0944
-73.9362,40.5389,-4.79352e-07,-73.9344,40.5397,-5.21363e-07
-73.9677,40.5399,1.5708,-73.9666,40.5413,1.5708
-73.9559,40.5501,2.0944,-73.9577,40.5509,2.61799
-73.9539,40.5286,-0.523599,-73.9527,40.5273,-1.0472
-73.9454,40.5333,-0.523599,-73.9433,40.5333,-0.523599
-73.942,40.5357,-0.523599,-73.9402,40.5349,-0.523599
-73.9687,40.5365,2.0944,-73.9705,40.5374,2.61799
-73.9441,40.5354,-3.36041e-07,-73.942,40.5354,-3.57204e-07
-73.9443,40.5347,-0.523599,-73.9422,40.5347,-0.523599
-73.943,40.5368,-3.40614e-07,-73.9409,40.5368,-3.56936e-07
-73.9433,40.5361,-0.523599,-73.9412,40.5361,-0.523599
-73.9341,40.5417,-3.42838e-07,-73.9322,40.5425,-4.2307e-07
-73.9344,40.5425,-3.72248e-07,-73.9325,40.5417,-0.523599
-73.9438,40.5346,-3.43872e-07,-73.9417,40.5346,-3.58353e-07
-73.9422,40.5375,-0.523599,-73.9401,40.5375,-0.523599
-73.9655,40.5386,2.0944,-73.9665,40.54,2.0944
-73.9567,40.5274,-0.523599,-73.9548,40.5266,-0.523599
-73.9419,40.546,1.5708,-73.9419,40.5476,1.5708
-73.9507,40.5328,-0.523599,-73.9488,40.532,-0.523599
-73.9599,40.5259,-1.49692e-08,-73.9577,40.5259,1.36768e-08
-73.9599,40.5259,-1.49692e-08,-73.958,40.5252,-0.523599
-73.9517,40.5314,-0.523599,-73.9499,40.5306,-0.523599
-73.9528,40.53,-0.523599,-73.9509,40.5292,-0.523599
-73.9655,40.5403,2.0944,-73.9673,40.5411,2.61799
-73.9623,40.5449,2.0944,-73.9623,40.5465,2.0944
-73.9409,40.5396,-2.24631e-07,-73.939,40.5404,0.523599
-73.9348,40.5422,0.523598,-73.9327,40.5423,-4.11232e-07
-73.9488,40.5349,-0.523599,-73.9467,40.5349,-0.523599
-73.9652,40.523,-0.523599,-73.9634,40.5222,-0.523599
-73.9659,40.5224,-1.0472,-73.9641,40.5216,-1.0472
-73.9491,40.5314,-2.84194e-07,-73.9472,40.5306,-0.523599
-73.9465,40.5347,-0.523599,-73.9446,40.5339,-0.523599
-73.9612,40.5238,-0.523599,-73.9591,40.5238,-0.523599
-73.9443,40.5375,-0.523599,-73.9425,40.5367,-0.523599
-73.958,40.528,-0.523599,-73.9559,40.528,-0.523599
-73.9456,40.5391,-0.523599,-73.9434,40.5391,-0.523599
-73.9543,40.5281,-1.15917e-07,-73.9522,40.5281,-1.36996e-07
-73.9586,40.547,1.5708,-73.9576,40.5484,1.5708
-73.9586,40.5253,-1.27474e-07,-73.9565,40.5253,-2.16126e-07
-73.9588,40.5246,-0.523599,-73.9567,40.5246,-0.523599
-73.9336,40.5419,-4.97105e-07,-73.9315,40.5419,-5.0871e-07
-73.9697,40.5351,2.0944,-73.9715,40.536,2.61799
-73.9411,40.5389,-0.523599,-73.939,40.5389,-0.523599
-73.9708,40.5349,2.0944,-73.9708,40.5365,2.0944
-73.9459,40.5502,2.0944,-73.9459,40.5518,2.0944
-73.9318,40.5427,-5.1704e-07,-73.9299,40.5435,-5.44162e-07
-73.945,40.5504,1.5708,-73.945,40.552,1.5708
-73.9557,40.5476,1.5708,-73.9557,40.5492,1.5708
-73.9634,40.5419,2.0944,-73.9651,40.5427,2.61799
-73.9644,40.5417,2.0944,-73.9644,40.5433,2.0944
-73.9433,40.5389,-0.523599,-73.9414,40.5381,-0.523599
-73.9517,40.5326,-0.523599,-73.9495,40.5327,-1.0472
-73.9673,40.5367,2.61799,-73.9683,40.5381,2.61799
-73.9265,40.5651,1.0472,-73.9247,40.5659,1.0472
-73.9554,40.5295,-1.01282e-07,-73.9532,40.5295,-1.60491e-07
-73.9626,40.5429,1.5708,-73.9616,40.5443,1.5708
-73.9697,40.5367,2.0944,-73.9708,40.5381,2.0944
-73.9452,40.5496,2.0944,-73.9452,40.5512,2.0944
-73.9442,40.5498,1.5708,-73.9442,40.5514,1.5708
-73.9567,40.5274,-0.523599,-73.9546,40.5274,-0.523599
-73.958,40.5473,2.0944,-73.9598,40.5481,2.61799
-73.9591,40.547,2.0944,-73.9591,40.5487,2.0944
-73.9385,40.5406,0.523598,-73.9364,40.5406,-4.53852e-07
-73.9572,40.5479,2.0944,-73.9572,40.5495,2.0944
-73.9678,40.5216,-1.0472,-73.9659,40.5208,-1.0472
-73.9539,40.5529,1.5708,-73.9549,40.5543,2.0944
-73.9404,40.537,-4.41255e-07,-73.9386,40.5378,-3.9646e-07
-73.9409,40.5371,-0.523599,-73.9388,40.5371,-0.523599
-73.9399,40.5385,-0.523599,-73.9378,40.5385,-0.523599
-73.956,40.527,-0.523599,-73.9539,40.527,-0.523599
-73.9634,40.5439,1.5708,-73.9624,40.5453,1.5708
-73.9708,40.5337,2.0944,-73.9726,40.5346,2.61799
-73.9719,40.5335,2.0944,-73.9719,40.5351,2.0944
-73.9481,40.5318,1.49729e-07,-73.946,40.5318,1.29641e-07
-73.9483,40.531,-0.523599,-73.9462,40.531,-0.523599
-73.9634,40.5435,2.0944,-73.9651,40.5444,2.61799
-73.9528,40.5312,-0.523599,-73.9507,40.5312,-0.523599
-73.9616,40.5447,1.5708,-73.9605,40.5461,1.5708
-73.9538,40.5298,-0.523599,-73.9517,40.5298,-0.523599
-73.9676,40.5358,2.0944,-73.9687,40.5372,2.0944
-73.9591,40.5254,-0.523599,-73.9573,40.5246,-0.523599
-73.9523,40.53,-2.06544e-07,-73.9501,40.53,-2.42618e-07
-73.9544,40.5509,1.5708,-73.9533,40.5523,1.5708
-73.9415,40.5356,-4.15538e-07,-73.9396,40.5349,-0.523599
-73.9496,40.5354,-0.523599,-73.9474,40.5354,-0.523599
-73.9708,40.5349,2.0944,-73.9719,40.5363,2.0944
-73.9628,40.5238,-0.523599,-73.9617,40.5224,-1.0472
-73.9644,40.5405,2.0944,-73.9662,40.5413,2.61799
-73.9655,40.5403,2.0944,-73.9655,40.5419,2.0944
-73.9697,40.5367,2.0944,-73.9697,40.5383,2.0944
-73.9674,40.5213,-0.523599,-73.9655,40.5205,-0.523599
-73.9506,40.534,-0.523599,-73.9485,40.534,-0.523599
-73.9597,40.5456,1.5708,-73.9586,40.547,1.5708
-73.9538,40.5512,2.0944,-73.9548,40.5526,2.0944
-73.958,40.5489,2.0944,-73.958,40.5505,2.0944
-73.947,40.5332,-3.35161e-07,-73.9449,40.5332,-3.53848e-07
-73.9473,40.5325,-0.523599,-73.9451,40.5325,-0.523599
-73.958,40.5489,2.0944,-73.9591,40.5503,2.0944
-73.9361,40.5398,0.523599,-73.9342,40.5406,0.523599
-73.9336,40.5419,-4.97105e-07,-73.9317,40.5411,-0.523599
-73.9462,40.5339,-0.523599,-73.9441,40.5339,-0.523599
-73.9474,40.5383,-0.523599,-73.9453,40.5383,-0.523599
-73.9505,40.531,-0.523599,-73.9486,40.5302,-0.523599
-73.9617,40.5419,2.0944,-73.9617,40.5435,2.0944
-73.9607,40.5421,2.0944,-73.9608,40.5437,1.5708
