lon,lat,psi,u,v,r,id
-73.9545,40.5429,1.0472,3,-4.32789e-07,-2.08528e-07,265
-73.9546,40.5363,0.523599,3,1.77308e-07,7.06582e-08,242
-73.9499,40.5439,1.0472,3,-0.00538161,-2.27133e-07,288
-73.9649,40.5281,4.92796e-09,3,0.00538199,3.24065e-08,23
-73.9526,40.5437,1.0472,3,-7.70875e-07,-7.50019e-08,271
-73.9557,40.5349,0.523599,3,8.95986e-08,3.26563e-08,245
-73.9637,40.5338,1.5708,3,-0.00538212,-9.68758e-08,61
-73.9525,40.5392,0.523599,3,7.03581e-07,4.7596e-08,256
-73.9536,40.5377,0.523599,3,1.59267e-07,6.14344e-08,259
-73.9507,40.5445,1.0472,3,-0.00538122,-3.86902e-08,303
-73.9639,40.5295,6.85648e-08,3,0.00538199,3.23853e-08,32
-73.9645,40.5344,1.5708,3,-0.00538202,-2.20913e-07,70
-73.9514,40.5406,0.523599,3,1.12467e-06,2.53856e-07,277
-73.9492,40.5434,0.523599,3,0.000251249,9.26075e-08,287
-73.9645,40.5344,1.5708,3,-0.00538202,-2.20913e-07,70
-73.9626,40.5352,1.5708,3,-0.00538169,-5.93989e-08,73
-73.9628,40.5309,6.89257e-08,3,0.00538199,3.23712e-08,44
-73.9553,40.5434,1.0472,3,-2.96286e-07,-1.43949e-07,305
-73.9626,40.5352,1.5708,3,-0.00538169,-5.93989e-08,73
-73.9503,40.5419,1.0472,3,-0.00538197,-1.96044e-07,349
-73.9534,40.5443,1.0472,3,-1.02814e-07,-4.58309e-08,317
-73.9572,40.5426,1.0472,3,-1.24658e-07,-5.93057e-08,311
-73.9571,40.5315,0.523599,3,1.36192e-07,6.29316e-08,274
-73.9515,40.5451,1.0472,3,-1.27777e-07,-4.60681e-08,326
-73.9642,40.5276,-1.65751e-08,3,0.00538171,6.72157e-08,38
-73.9642,40.5276,-1.65751e-08,3,0.00538171,6.72157e-08,38
-73.9653,40.5261,-3.12793e-09,3,0.00538202,2.23113e-07,41
-73.956,40.5329,0.523599,3,7.24635e-08,3.39442e-08,284
-73.9653,40.5261,-3.12793e-09,3,0.00538202,2.23113e-07,41
-73.9582,40.5301,0.523599,3,-3.01315e-07,-1.46278e-07,281
-73.9634,40.5358,1.5708,3,-0.00538206,-2.37731e-07,97
-73.9631,40.529,-7.29275e-09,3,0.00538169,5.92902e-08,53
-73.9631,40.529,-7.29275e-09,3,0.00538169,5.92902e-08,53
-73.9549,40.5343,0.523599,3,5.42127e-07,2.63655e-07,308
-73.9528,40.5371,0.523599,3,7.49473e-08,3.43727e-08,320
-73.9506,40.54,0.523599,3,3.49755e-07,1.55177e-07,335
-73.9634,40.5358,1.5708,3,-0.00538206,-2.37731e-07,97
-73.9616,40.5366,1.5708,3,-0.00538203,-2.25299e-07,103
-73.9539,40.5357,0.523599,3,7.88483e-08,3.72769e-08,329
-73.9616,40.5366,1.5708,3,-0.00538203,-2.25299e-07,103
-73.962,40.5304,2.73622e-08,3,0.00538171,6.71504e-08,62
-73.9517,40.5385,0.523599,3,4.46573e-07,2.15832e-07,338
-73.962,40.5304,2.73622e-08,3,0.00538171,6.71504e-08,62
-73.9485,40.5428,0.523599,3,0.0053815,1.72588e-07,365
-73.9496,40.5414,0.523599,3,1.064e-07,3.23378e-08,348
-73.9597,40.5375,1.5708,3,-0.00538197,-2.23865e-08,115
-73.9523,40.5457,1.0472,3,-3.20521e-07,-1.55238e-07,369
-73.9542,40.5448,1.0472,3,-1.33536e-07,-6.22214e-08,360
-73.9599,40.5332,3.26332e-08,3,0.00538199,3.23981e-08,86
-73.961,40.5318,5.29932e-08,3,0.0053817,6.3926e-08,77
-73.961,40.5318,5.29932e-08,3,0.0053817,6.3926e-08,77
-73.9561,40.544,1.0472,3,-6.64618e-07,-3.22973e-07,372
-73.9624,40.5372,1.5708,3,-0.00538204,-2.29964e-07,118
-73.9605,40.538,1.5708,3,-0.00538202,-2.22671e-07,133
-73.9623,40.5284,-7.34379e-08,3,0.00538198,2.02852e-07,74
-73.9588,40.5346,4.65679e-08,3,0.00538199,3.24048e-08,98
-73.9624,40.5372,1.5708,3,-0.00538204,-2.29964e-07,118
-73.9623,40.5284,-7.34379e-08,3,0.00538198,2.02852e-07,74
-73.9605,40.538,1.5708,3,-0.00538202,-2.22671e-07,133
-73.9634,40.5269,7.06611e-08,3,0.00538181,1.18891e-07,83
-73.9586,40.5389,1.5708,3,-0.00538171,-6.79921e-08,148
-73.9634,40.5269,7.06611e-08,3,0.00538181,1.18891e-07,83
-73.9613,40.5298,-1.4963e-07,3,0.00538198,1.9955e-07,89
-73.9552,40.5323,0.523599,3,5.48637e-07,2.66226e-07,375
-73.9586,40.5389,1.5708,3,-0.00538171,-6.79921e-08,148
-73.9613,40.5298,-1.4963e-07,3,0.00538198,1.9955e-07,89
-73.9542,40.5337,0.523599,3,1.50344e-07,7.26042e-08,387
-73.9509,40.5379,0.523599,3,1.46576e-07,7.07167e-08,408
-73.9488,40.5408,0.523599,3,3.04772e-07,1.44803e-07,411
-73.9602,40.5312,-2.91932e-08,3,0.00538198,2.02938e-07,107
-73.9563,40.5309,0.523599,3,-1.03543e-07,-4.75377e-08,393
-73.9531,40.5351,0.523599,3,7.99145e-08,3.36359e-08,405
-73.9602,40.5312,-2.91932e-08,3,0.00538198,2.02938e-07,107
-73.9613,40.5386,1.5708,3,-0.00538202,-2.20293e-07,154
-73.9499,40.5393,0.523599,3,1.20029e-07,5.41107e-08,429
-73.952,40.5365,0.523599,3,1.08987e-07,5.23716e-08,420
-73.9532,40.5462,1.0472,3,-1.35749e-07,-6.48351e-08,441
-73.958,40.534,3.8294e-09,3,0.00538173,7.5978e-08,125
-73.9594,40.5394,1.5708,3,-0.00538203,-2.26766e-07,163
-73.958,40.534,3.8294e-09,3,0.00538173,7.5978e-08,125
-73.9591,40.5326,-1.19368e-07,3,0.005382,2.09834e-07,119
-73.9591,40.5326,-1.19368e-07,3,0.005382,2.09834e-07,119
-73.9613,40.5386,1.5708,3,-0.00538202,-2.20293e-07,154
-73.955,40.5454,1.0472,3,-7.36577e-08,-2.93663e-08,453
-73.9594,40.5394,1.5708,3,-0.00538203,-2.26766e-07,163
-73.9576,40.5403,1.5708,3,-0.00538198,-2.01516e-07,178
-73.9576,40.5403,1.5708,3,-0.00538198,-2.01516e-07,178
-73.9698,40.529,1.5708,3,-0.00025187,-3.79703e-07,159
-73.9559,40.5368,6.49923e-09,3,0.00538199,3.24071e-08,149
-73.957,40.5354,2.45134e-08,3,0.0053817,6.21358e-08,140
-73.957,40.5354,2.45134e-08,3,0.0053817,6.21358e-08,140
-73.9557,40.5411,1.5708,3,-0.00538199,-3.23187e-08,190
